,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperml,SampleName,date_of_collection
270,Park Ten,PT-22-1114,NOROVIRUS,Undetermined,68088228.9279999,PT-22-1114,2022-11-14
271,Roberto Bustamante,22-34139,NOROVIRUS,Undetermined,4918251.99110527,22-34139,2022-11-14
272,Turkey Creek,TC-22-1114,NOROVIRUS,Undetermined,15088901.4933473,TC-22-1114,2022-11-14
273,Almeda Sims,AS-22-1122,NOROVIRUS,Undetermined,33950404.2014191,AS-22-1122,2022-11-21
274,Fred Hurvey,22-34993,NOROVIRUS,Undetermined,4968426.27109911,22-34993,2022-11-21
275,Haskell,NA,NOROVIRUS,NA,0,NA,2022-11-21
276,Homestead,HO-22-1122,NOROVIRUS,Undetermined,36429315.6015158,HO-22-1122,2022-11-21
277,Intercontinental Airport,IA-22-1122,NOROVIRUS,Undetermined,14241126.3664676,IA-22-1122,2022-11-21
278,John T. Hickerson,NA,NOROVIRUS,NA,0,NA,2022-11-21
279,LB_TX1,VD8K6G,NOROVIRUS,Undetermined,6013974.55011199,VD8K6G,2022-11-21
280,Metro Central,MC-22-1122,NOROVIRUS,Undetermined,6989516.29046571,MC-22-1122,2022-11-21
281,Park Ten,PT-22-1122,NOROVIRUS,Undetermined,134761219.814645,PT-22-1122,2022-11-21
282,Roberto Bustamante,22-34995,NOROVIRUS,Undetermined,4972001.20438032,22-34995,2022-11-21
